,model,lr,Mean loss,SD loss,Mean regret,SD regret,Mean accuracy,SD accuracy,Mean precision,SD precision,Mean tpr,Mean fpr
0,linear regression,0.0001,4814.50146484375,26.41504008693567,24.626793024699175,5.186029141034962,0.8887658227848101,0.0062742041036897974,0.9393268124280784,0.003422293147467167,0.9393268124280784,0.6674050632911392
1,linear regression,1e-05,4822.615478515625,38.29562458641293,19.60656528307227,2.7206227425254657,0.900632911392405,0.008691354398537406,0.9457997698504028,0.004740738762838589,0.9457997698504028,0.5962025316455697
2,linear regression,1e-06,4821.842529296875,38.08857233239342,23.576755043424136,5.094042244823141,0.8891877637130801,0.01100485352929047,0.9395569620253165,0.006002647379612986,0.9395569620253165,0.664873417721519
3,SPO,0.0001,14825.27919921875,95.92182492058654,272.59498664405555,0.012464489585536993,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
4,SPO,1e-05,14808.2021484375,92.82924504024155,272.6051638571852,0.010177213129600205,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
5,SPO,1e-06,14787.50576171875,69.61528174201872,272.6051638571852,0.010177213129600205,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
6,slereg,0.0001,1075.8854125976563,11.570639608377615,34.73420671859858,6.884272321690047,0.8839662447257384,0.007130988937196456,0.9367088607594937,0.0038896303293798895,0.9367088607594937,0.6962025316455698
7,slereg,1e-05,1065.7468139648438,11.384041548277997,29.237092795440702,7.320960758479854,0.8898558368495078,0.007472284260908353,0.939921365554277,0.0040757914150409275,0.939921365554277,0.6608649789029535
8,slereg,1e-06,1066.1634399414063,15.227049385813249,27.06057809877999,3.7753061700517287,0.8914908579465542,0.0045681858531151885,0.9408131952435751,0.0024917377380628326,0.9408131952435751,0.6510548523206751
