Model,epoch,lr,schedule,train_regret,train_loss,test_regret,test_loss
Curriculum:linreg(10),10,0.001,l1d1,33030.38611688432,806.8356323242188,45083.34938417853,703.1618041992188
Curriculum:SPO,0,0.001,l1d1,33879.70734502218,1152.1578369140625,45733.64620013404,1147.9310302734375
Curriculum:SPO,1,0.001,l1d1,43364.26814322942,986.0888061523438,58041.44433192934,925.7989501953125
Curriculum:SPO,2,0.001,l1d1,32785.26911644819,965.47900390625,46562.50421738006,743.7919921875
Curriculum:SPO,3,0.001,l1d1,36037.169314883395,895.1713256835938,48162.82774640498,716.164306640625
Curriculum:SPO,4,0.001,l1d1,35249.76745907442,1434.171630859375,48791.11470180323,1353.820068359375
Curriculum:SPO,5,0.001,l1d1,37214.560100632334,1559.444580078125,50203.57408513249,1439.1611328125
Curriculum:SPO,6,0.001,l1d1,66734.24399793589,2831.192626953125,80745.14751587139,3002.78173828125
Curriculum:SPO,7,0.001,l1d1,33544.92547027105,1536.81640625,38193.31623342734,1193.1900634765625
Curriculum:SPO,8,0.001,l1d1,32536.83505837331,1237.493896484375,40709.68088219806,757.1050415039062
Curriculum:SPO,9,0.001,l1d1,37497.0719940819,1291.2886962890625,50515.26535380045,1035.646728515625
